,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,j0ssl2ul,history,A5H7DAMCUM9WF,3,4,[],256.279645091247,0.0,0.0,0.0
1,j0ssl2ul,history,A2D6VL5XE0O4D3,3,13,[4],362.873833757518,64.0,0.0,0.21
2,j0ssl2ul,history,ALTMSSCYKZS8Z,3,12,"[4, 13]",340.194219147673,89.0,0.0,0.3
3,j0ssl2ul,history,A1B2V27QSGPT6W,3,14,"[4, 13, 12]",512.559290182494,132.0,0.0,0.44
4,j0ssl2ul,history,ABVLH4KP7DKNV,3,15,"[13, 12, 14]",340.194219147673,174.0,0.0,0.58
5,j0ssl2ul,history,A2KI7W45F6HRVY,3,20,"[12, 14, 15]",512.559290182494,192.0,0.0,0.64
6,j0ssl2ul,history,A11BLQKVW1951L,3,17,"[14, 15, 20]",385.553448367363,228.0,0.0,0.76
7,j0ssl2ul,history,A90NKJUJ7HTEQ,3,22,"[15, 20, 17]",975.0,254.0,0.0,0.85
8,j0ssl2ul,history,AT3CZ2VR5A5U1,3,25,"[20, 17, 22]",589.6699798559661,292.0,0.0,0.97
9,j0ssl2ul,history,A2AMTPTQ0DUFZ0,3,60,"[17, 22, 25]",99.79030428331741,0.0,0.0,0.0
10,j0ssl2ul,history,A23T45LD2D70DN,3,45,"[22, 25, 60]",816.466125954415,283.0,0.0,0.94
11,j0ssl2ul,history,A2VM2EU6AHX5IC,3,65,"[25, 60, 45]",997.903042833174,0.0,0.0,0.0
12,j0ssl2ul,history,AZAPOAN6T6QFW,3,55,"[60, 45, 65]",997.9,271.0,0.0,0.91
13,j0ssl2ul,history,AQFCUJXQPQWZJ,3,56,"[45, 65, 55]",997.9,239.0,0.0,0.8
14,j0ssl2ul,history,ABN6GDFW4N8AK,3,58,"[65, 55, 56]",1111.3011158824002,273.0,1.0,1.91
15,j0ssl2ul,history,A1TBL7E87DYE6J,3,61,"[55, 56, 58]",997.9,223.0,0.0,0.74
16,j0ssl2ul,history,AVM4EPVEXE306,3,63,"[56, 58, 61]",1800.0,225.0,0.0,0.75
17,j0ssl2ul,history,A1RK5KQQ320OH4,3,62,"[58, 61, 63]",1500.0,286.0,0.0,0.95
18,j0ssl2ul,history,A37Y1OJCIRM3TG,3,66,"[61, 63, 62]",1499.9843510659198,273.0,0.0,0.91
19,j0ssl2ul,history,A4LCG4MSNJRUF,3,69,"[63, 62, 66]",1499.9843510659198,290.0,0.0,0.97
