participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.views,session.config.wait_before_leave,session.config.pay_per_min,session.config.selection_method,session.config.real_world_currency_per_point,session.config.bonus,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
21,ntb3zygl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:05:28.293646+00:00,1,A1W7OUHZNCS5PU,3P4RDNWND6PXKSIODFRGH82QXP0JI3,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,21,1,0,0,1,1,21,0,0,0,1,2,21,0,0,0,1,3,21,0,0,0,1,4,21,0,0,0,1,5,21,0,0,0,1,6,21,0,0,0,1,7,21,0,0,0,1,8,21,9,"[1, 14, 18]",725.7,1599.894911,725.7,0.411435523,0,,2018-07-24 09:06:13.625725+00:00,8,0.03,0,1,1,0,0,0.2,30,300,1,3,min
22,pxi8wumx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:06:13.657455+00:00,1,AOZUMS41I24QI,37U1UTWH9W5LTAPOCYOY6AU34APR8V,0.19,0.29,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,22,1,0,0,1,1,22,0,0,0,1,2,22,0,0,0,1,3,22,0,0,0,1,4,22,0,0,0,1,5,22,0,0,0,1,6,22,0,0,0,1,7,22,0,0,0,1,8,22,9,"[14, 18, 21]",0,,,,0,,2018-07-24 09:06:21.449589+00:00,58,0.19,0,1,1,0,0,0.2,30,300,1,3,min
23,kafwpt1k,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:17:01.607850+00:00,1,A2PNC1TJ3KJ492,3ZSY5X72NYUOE2C4JFDU3WK3JFTORV,0.02,0.12,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,23,1,0,0,1,1,23,0,0,0,1,2,23,0,0,0,1,3,23,0,0,0,1,4,23,0,0,0,1,5,23,0,0,0,1,6,23,0,0,0,1,7,23,0,0,0,1,8,23,10,"[14, 18, 21]",1700,3747.8591,1700,0.378751014,0,,2018-07-24 09:17:50.234460+00:00,6,0.02,0,1,1,0,0,0.2,30,300,1,3,min
24,n0m39h88,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:18:33.144428+00:00,1,A2WP04RFZ9STGJ,34S6N1K2ZW23JNV4AIL8XBE311QHLA,1.03,1.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,24,1,0,0,1,1,24,0,0,0,1,2,24,0,0,0,1,3,24,0,0,0,1,4,24,0,0,0,1,5,24,0,0,0,1,6,24,0,0,0,1,7,24,0,0,0,1,8,24,11,"[14, 18, 21]",2540,2540,1152.124422,0.065592521,1,,2018-07-24 09:18:55.649642+00:00,8,0.03,1,1,1,0,0,0.2,30,300,1,3,min
25,4gkfphvv,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:18:42.688891+00:00,1,A27CIX7IH6XSD7,3QRYMNZ7FZ0JCWPKMPICOMLGHQLTNY,0.05,0.15,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,25,1,0,0,1,1,25,0,0,0,1,2,25,0,0,0,1,3,25,0,0,0,1,4,25,0,0,0,1,5,25,0,0,0,1,6,25,0,0,0,1,7,25,0,0,0,1,8,25,12,"[14, 18, 21]",1675,1675,759.7670894,0.383806091,1,,2018-07-24 09:19:25.494280+00:00,15,0.05,0,1,1,0,0,0.2,30,300,1,3,min
26,qbxpke9g,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:19:25.132373+00:00,1,A10JK3HAFBCXH5,373ERPL3YPR4RUHCFWZTX6QQINARTK,0.17,0.27,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,26,1,0,0,1,1,26,0,0,0,1,2,26,0,0,0,1,3,26,0,0,0,1,4,26,0,0,0,1,5,26,0,0,0,1,6,26,0,0,0,1,7,26,0,0,0,1,8,26,13,"[14, 18, 21]",1680,1680,762.0350509,0.381966706,1,,2018-07-24 09:19:51.735287+00:00,49,0.17,0,1,1,0,0,0.2,30,300,1,3,min
27,l9y5yz8s,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:26:13.332982+00:00,1,A3PQ0OYO3BC0BS,35BLDD71I7GS6D7SU8TLKRGAOP9ZV1,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,27,1,0,0,1,1,27,0,0,0,1,2,27,0,0,0,1,3,27,0,0,0,1,4,27,0,0,0,1,5,27,0,0,0,1,6,27,0,0,0,1,7,27,0,0,0,1,8,27,14,"[14, 18, 21]",1600,3527.3968,1600,0.297648013,0,,2018-07-24 09:27:36.080058+00:00,7,0.03,0,1,1,0,0,0.2,30,300,1,3,min
28,g6klccqx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:36:01.547536+00:00,1,AHA0PGTK8TPFF,3RWE2M8QWITIWNSTONU24BJBKFP0NU,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,28,1,0,0,1,1,28,0,0,0,1,2,28,0,0,0,1,3,28,0,0,0,1,4,28,0,0,0,1,5,28,0,0,0,1,6,28,0,0,0,1,7,28,0,0,0,1,8,28,15,"[14, 18, 21]",1490,1490,675.8525154,0.451863329,1,,2018-07-24 09:36:18.685502+00:00,2,0.01,0,1,1,0,0,0.2,30,300,1,3,min
29,8d7a0ghb,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 09:39:19.507163+00:00,1,A19JWMU5PQK3EY,34FNN24DCNSB3TI8SV9P2MD9573Y52,0,0.1,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,29,0,1,0,1,1,29,0,0,0,1,2,29,0,0,0,1,3,29,0,0,0,1,4,29,0,0,0,1,5,29,0,0,0,1,6,29,0,0,0,1,7,29,0,0,0,1,8,29,0,,,,,,,,,,,0,1,1,0,0,0.2,30,300,1,3,min
30,mdhhbsrp,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:43:53.298222+00:00,1,A1URFOW4XBORT1,3PXX5PX6LYHCWR1EDZMM2MVUCCNAB6,0.02,0.12,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,30,1,0,0,1,1,30,0,0,0,1,2,30,0,0,0,1,3,30,0,0,0,1,4,30,0,0,0,1,5,30,0,0,0,1,6,30,0,0,0,1,7,30,0,0,0,1,8,30,16,"[14, 21, 28]",725.7,1599.894911,725.7,0.411435523,0,,2018-07-24 09:44:13.010921+00:00,7,0.02,0,1,1,0,0,0.2,30,300,1,3,min
31,sq9lu95v,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:45:21.152177+00:00,1,A1XSQ7O7YLOE8N,33CKWXB73K3FP56MFJ04L9PIM6Q11Q,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,31,1,0,0,1,1,31,0,0,0,1,2,31,0,0,0,1,3,31,0,0,0,1,4,31,0,0,0,1,5,31,0,0,0,1,6,31,0,0,0,1,7,31,0,0,0,1,8,31,17,"[14, 28, 30]",1599.9,1599.9,725.7023083,0.411433651,1,,2018-07-24 09:45:51.306542+00:00,9,0.03,0,1,1,0,0,0.2,30,300,1,3,min
32,v9827v9q,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:51:09.123376+00:00,1,A1XUHSDKYFLUK6,3JMSRU9HQJDUVIGWYLF8ZHFS0J0VER,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,32,1,0,0,1,1,32,0,0,0,1,2,32,0,0,0,1,3,32,0,0,0,1,4,32,0,0,0,1,5,32,0,0,0,1,6,32,0,0,0,1,7,32,0,0,0,1,8,32,18,"[14, 28, 30]",2800,6172.9444,2800,1.270884023,0,,2018-07-24 09:51:26.234154+00:00,9,0.03,0,1,1,0,0,0.2,30,300,1,3,min
33,z8abryq3,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:51:45.105432+00:00,1,A27YG16VADAMO0,33C7UALJVMHX05Q7E49J0JCQ0CW18A,0.02,0.12,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,33,1,0,0,1,1,33,0,0,0,1,2,33,0,0,0,1,3,33,0,0,0,1,4,33,0,0,0,1,5,33,0,0,0,1,6,33,0,0,0,1,7,33,0,0,0,1,8,33,18,"[14, 28, 30]",0,,,,0,,2018-07-24 09:52:06.857324+00:00,5,0.02,0,1,1,0,0,0.2,30,300,1,3,min
34,2iirf3gf,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 09:55:18.676553+00:00,1,A11O2FQMTESHUT,3JRJSWSMQI4AJ9EDEB92GMN99Z83E3,0,0.1,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,34,0,1,0,1,1,34,0,0,0,1,2,34,0,0,0,1,3,34,0,0,0,1,4,34,0,0,0,1,5,34,0,0,0,1,6,34,0,0,0,1,7,34,0,0,0,1,8,34,0,,,,,,,,,,,0,1,1,0,0,0.2,30,300,1,3,min
35,ava9yrod,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:59:55.000723+00:00,1,A17HGM0WV0PLY9,3SKRO2GZ72AHV6S8NT6MQOLHVCQ1KT,0.02,0.12,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,35,1,0,0,1,1,35,0,0,0,1,2,35,0,0,0,1,3,35,0,0,0,1,4,35,0,0,0,1,5,35,0,0,0,1,6,35,0,0,0,1,7,35,0,0,0,1,8,35,19,"[14, 28, 30]",1480,3262.84204,1480,0.200324412,0,,2018-07-24 10:00:32.981894+00:00,6,0.02,0,1,1,0,0,0.2,30,300,1,3,min
36,p62rfzbq,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:00:18.002644+00:00,1,A1KFVQTYH977CO,3634BBTX0PDHFQWSUP0V2AAY4IKIF0,0.21,0.31,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,36,1,0,0,1,1,36,0,0,0,1,2,36,0,0,0,1,3,36,0,0,0,1,4,36,0,0,0,1,5,36,0,0,0,1,6,36,0,0,0,1,7,36,0,0,0,1,8,36,19,"[14, 28, 30]",0,,,,0,,2018-07-24 10:00:40.937240+00:00,61,0.21,0,1,1,0,0,0.2,30,300,1,3,min
37,veffq048,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:19:05.049323+00:00,1,A2CRK50MGUK30V,38YMOXR4MVI3XSNMID169V6TQUFW6I,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,37,1,0,0,1,1,37,0,0,0,1,2,37,0,0,0,1,3,37,0,0,0,1,4,37,0,0,0,1,5,37,0,0,0,1,6,37,0,0,0,1,7,37,0,0,0,1,8,37,19,"[14, 28, 30]",0,,,,0,,2018-07-24 10:19:46.279135+00:00,8,0.03,0,1,1,0,0,0.2,30,300,1,3,min
38,6wuccibf,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:20:51.937000+00:00,1,A1YMIA0664RNFF,333U7HK6IAYGCH22L1Q5QBMD5KTJD2,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,38,1,0,0,1,1,38,0,0,0,1,2,38,0,0,0,1,3,38,0,0,0,1,4,38,0,0,0,1,5,38,0,0,0,1,6,38,0,0,0,1,7,38,0,0,0,1,8,38,19,"[14, 28, 30]",0,,,,0,,2018-07-24 10:21:22.442801+00:00,9,0.03,0,1,1,0,0,0.2,30,300,1,3,min
39,pef5rjo7,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:38:42.081226+00:00,1,A2A2CEBYMI2UNJ,33SA9F9TRYD7A7G1OVK4LJY67S3EWL,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,39,1,0,0,1,1,39,0,0,0,1,2,39,0,0,0,1,3,39,0,0,0,1,4,39,0,0,0,1,5,39,0,0,0,1,6,39,0,0,0,1,7,39,0,0,0,1,8,39,20,"[14, 28, 30]",1400,1400,635.0292091,0.484972255,1,,2018-07-24 10:39:04.816801+00:00,9,0.03,0,1,1,0,0,0.2,30,300,1,3,min
40,7v58g805,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:39:35.703160+00:00,1,A249LDVPG27XCE,3EJJQNKU9SOEMLQHF2I4JNN27TGRHB,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,40,1,0,0,1,1,40,0,0,0,1,2,40,0,0,0,1,3,40,0,0,0,1,4,40,0,0,0,1,5,40,0,0,0,1,6,40,0,0,0,1,7,40,0,0,0,1,8,40,21,"[14, 28, 39]",2600,5732.0198,2600,1.108678021,0,,2018-07-24 10:40:15.465985+00:00,8,0.03,0,1,1,0,0,0.2,30,300,1,3,min
41,k5fepsy6,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:13:57.993436+00:00,1,A2FK7U1OGP2XQT,3YMTUJH0DTZXQOFE4K3GPDFGQ9RT44,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,41,1,0,0,1,1,41,0,0,0,1,2,41,0,0,0,1,3,41,0,0,0,1,4,41,0,0,0,1,5,41,0,0,0,1,6,41,0,0,0,1,7,41,0,0,0,1,8,41,22,"[14, 28, 39]",1200,1200,544.3107506,0.558547647,1,,2018-07-24 11:14:29.295895+00:00,3,0.01,0,1,1,0,0,0.2,30,300,1,3,min
42,ljb6qk2e,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:26:09.027364+00:00,1,A2ZDK0Y5466BXN,3RRCEFRB7NVXU2LX4YCVPJ9UK2SB4X,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,42,1,0,0,1,1,42,0,0,0,1,2,42,0,0,0,1,3,42,0,0,0,1,4,42,0,0,0,1,5,42,0,0,0,1,6,42,0,0,0,1,7,42,0,0,0,1,8,42,23,"[14, 39, 41]",1200,1200,544.3107506,0.558547647,1,,2018-07-24 11:26:36.557182+00:00,2,0.01,0,1,1,0,0,0.2,30,300,1,3,min
43,4l8g3hlq,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:34:37.018331+00:00,1,A3C8US1D4KC894,31QNSG6A5SCBBR593KQS1T333YX78E,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,43,1,0,0,1,1,43,0,0,0,1,2,43,0,0,0,1,3,43,0,0,0,1,4,43,0,0,0,1,5,43,0,0,0,1,6,43,0,0,0,1,7,43,0,0,0,1,8,43,24,"[14, 41, 42]",544,1199.314912,544,0.558799676,0,,2018-07-24 11:35:11.918085+00:00,2,0.01,0,1,1,0,0,0.2,30,300,1,3,min
44,p64l4369,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:38:21.335382+00:00,1,A15XFO0JDE51X8,3KGTPGBS6Y42NNFG0BA21U4KP93U21,0.04,0.14,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,44,1,0,0,1,1,44,0,0,0,1,2,44,0,0,0,1,3,44,0,0,0,1,4,44,0,0,0,1,5,44,0,0,0,1,6,44,0,0,0,1,7,44,0,0,0,1,8,44,25,"[14, 42, 43]",483,1064.832909,483,0.608272506,0,,2018-07-24 11:38:42.297063+00:00,10,0.04,0,1,1,0,0,0.2,30,300,1,3,min
45,en8840yg,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 12:05:57.692045+00:00,1,A1M9NT8B1KNVZK,3I0BTBYZAY4C8MW7VP3DLRHIOZV0YM,0.05,0.15,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,45,1,0,0,1,1,45,0,0,0,1,2,45,0,0,0,1,3,45,0,0,0,1,4,45,0,0,0,1,5,45,0,0,0,1,6,45,0,0,0,1,7,45,0,0,0,1,8,45,25,"[14, 43, 44]",0,,,,0,,2018-07-24 12:06:27.595904+00:00,15,0.05,0,1,1,0,0,0.2,30,300,1,3,min
46,60wm6y9v,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:06:55.597907+00:00,1,A3HSQ2S9NIVOK2,31LM9EDVOMBPYTTFAV48MGY7JOYJNN,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,46,1,0,0,1,1,46,0,0,0,1,2,46,0,0,0,1,3,46,0,0,0,1,4,46,0,0,0,1,5,46,0,0,0,1,6,46,0,0,0,1,7,46,0,0,0,1,8,46,26,"[14, 43, 44]",1900,4188.7837,1900,0.540957015,0,,2018-07-24 13:07:25.153172+00:00,7,0.03,0,1,1,0,0,0.2,30,300,1,3,min
47,4d7nc6e5,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 13:08:04.354625+00:00,1,A1BC1RCI9Q4HRL,3YJ6NA41JCZP1E5SQAH0Q532J3ZJPJ,0,0.1,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,47,0,1,0,1,1,47,0,0,0,1,2,47,0,0,0,1,3,47,0,0,0,1,4,47,0,0,0,1,5,47,0,0,0,1,6,47,0,0,0,1,7,47,0,0,0,1,8,47,0,,,,,,,,,,,0,1,1,0,0,0.2,30,300,1,3,min
48,ce9bfexr,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:21:22.378398+00:00,1,A1X89B41M73QTR,3MD9PLUKKJXFY8YJSH7UAAMX2MBZNO,0.02,0.12,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,48,1,0,0,1,1,48,0,0,0,1,2,48,0,0,0,1,3,48,0,0,0,1,4,48,0,0,0,1,5,48,0,0,0,1,6,48,0,0,0,1,7,48,0,0,0,1,8,48,27,"[14, 43, 44]",1600,1600,725.7476675,0.411396863,1,,2018-07-24 13:21:48.042778+00:00,5,0.02,0,1,1,0,0,0.2,30,300,1,3,min
49,1qrsgl6y,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:21:39.559077+00:00,1,A2OD5QYUCEYHJD,3R5F3LQFV33XGTYVTW77PZM2SWGZO3,0.1,0.2,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,49,1,0,0,1,1,49,0,0,0,1,2,49,0,0,0,1,3,49,0,0,0,1,4,49,0,0,0,1,5,49,0,0,0,1,6,49,0,0,0,1,7,49,0,0,0,1,8,49,28,"[14, 43, 44]",483,1064.832909,483,0.608272506,0,,2018-07-24 13:22:19.917802+00:00,30,0.1,0,1,1,0,0,0.2,30,300,1,3,min
50,uonp0132,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:26:16.725469+00:00,1,A2LTOS0AZ3B28A,3NPFYT4IZDNKJLHI4V6EN5XPTARXGH,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,50,1,0,0,1,1,50,0,0,0,1,2,50,0,0,0,1,3,50,0,0,0,1,4,50,0,0,0,1,5,50,0,0,0,1,6,50,0,0,0,1,7,50,0,0,0,1,8,50,29,"[14, 44, 49]",950,950,430.9126776,0.650516888,1,,2018-07-24 13:26:48.564548+00:00,4,0.01,0,1,1,0,0,0.2,30,300,1,3,min
51,wgt7mu2p,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:33:17.830479+00:00,1,AJC5QHO846DZR,3B3WTRP3DCL43VRD20FB5YH6COW92S,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,51,1,0,0,1,1,51,0,0,0,1,2,51,0,0,0,1,3,51,0,0,0,1,4,51,0,0,0,1,5,51,0,0,0,1,6,51,0,0,0,1,7,51,0,0,0,1,8,51,30,"[14, 49, 50]",1064.8,1064.8,482.9850727,0.608284613,1,,2018-07-24 13:33:32.853497+00:00,8,0.03,0,1,1,0,0,0.2,30,300,1,3,min
52,xvocp8tw,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:34:46.893061+00:00,1,A3IQBVEWU7VRNE,3SKRO2GZ72AHV6S8NT6MQOLHVCU1KX,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,52,1,0,0,1,1,52,0,0,0,1,2,52,0,0,0,1,3,52,0,0,0,1,4,52,0,0,0,1,5,52,0,0,0,1,6,52,0,0,0,1,7,52,0,0,0,1,8,52,31,"[14, 50, 51]",975,975,442.2524849,0.641319964,1,,2018-07-24 13:35:23.328873+00:00,2,0.01,0,1,1,0,0,0.2,30,300,1,3,min
53,thj9xm8j,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:38:41.885118+00:00,1,A1OD4XDOWM8S6E,3YGXWBAF710G47D3IY8Q03FC2NVC48,0.01,0.11,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,53,1,0,0,1,1,53,0,0,0,1,2,53,0,0,0,1,3,53,0,0,0,1,4,53,0,0,0,1,5,53,0,0,0,1,6,53,0,0,0,1,7,53,0,0,0,1,8,53,32,"[14, 50, 52]",1000,1000,453.5922922,0.63212304,1,,2018-07-24 13:38:51.664587+00:00,3,0.01,0,1,1,0,0,0.2,30,300,1,3,min
54,cl7614vr,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:57:41.362384+00:00,1,AKN6YZWA3XPWZ,3PW9OPU9PR3MEQOIYN0IQSZNEC921D,0.04,0.14,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,54,1,0,0,1,1,54,0,0,0,1,2,54,0,0,0,1,3,54,0,0,0,1,4,54,0,0,0,1,5,54,0,0,0,1,6,54,0,0,0,1,7,54,0,0,0,1,8,54,33,"[50, 52, 53]",405.3,893.5337019,405.3,0.671289538,0,,2018-07-24 13:58:02.169597+00:00,10,0.04,0,1,1,0,0,0.2,30,300,1,3,min
