participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.guess,player.is_winner,player.strategy_guess,player.timeout,player.payoff,group.id_in_subsession,group.two_thirds_avg,group.best_guess,group.num_winners,group.high_info,group.split,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,1,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,1,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,78,1,,0,0.78,2,52,78,2,1,0,1,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,78,1,,0,0.78,2,52,78,2,1,0,1,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,1,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,1,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,2,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,2,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,0,0,,1,0,2,,,,1,0,2,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,0,0,,1,0,2,,,,1,0,2,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,2,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,2,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,3,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,3,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,3,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,3,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,3,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,3,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,4,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,4,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,4,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,4,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,4,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,4,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,5,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,5,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,5,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,5,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,5,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,5,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,6,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,6,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,6,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,6,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,6,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,6,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,7,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,7,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,7,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,7,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,7,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,7,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0,1,,0,,0,0,1,,,,0,0,8,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0,2,,0,,0,0,1,,,,0,0,8,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,1,,0,,1,0,2,,,,1,0,8,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,2,,0,,1,0,2,,,,1,0,8,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0,5,,0,,0,0,1,,,,0,0,8,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0,6,,0,,0,0,1,,,,0,0,8,4wdiucwy,,,,,,1
1,t79pfwdn,,0,72,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:16.127748+00:00,1,A2T4WZ9J4YZEQK,3TDXMTX3CCDLWX3HTWXR84XKY4U6IP,0,2,0,0,,1,0,2,,,,1,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
2,nj80v31k,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:18.788167+00:00,1,A26ZXP45O8JIXZ,37TRT2X24RANXK4I75ZZVLYCPKUBJR,0,1,100,0,,1,0,2,,,,1,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
3,8nrmta25,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 11:48:24.649703+00:00,1,A2FHS0GFYKC9ON,37FMASSAYDAR29KCPNEZJKJCC55BIF,0,3,,0,,0,0,1,,,,0,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
4,wafj2iqd,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:28.932720+00:00,1,A2HD5XMM48KKJW,37WLF8U1WQ9C2ST5TZI3LKCXQ8J6K0,2.17,2,75,0,,0,0,4,49,72,1,0,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
5,0aw4agnp,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:57.592940+00:00,1,A2FVHVDTBC1BVB,3TU5ZICBREKLH9AOZJZY1KKXV91Q8Y,1.25,2,28,1,,0,0.25,8,36,28,1,1,1,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
6,vg1pfnls,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:58.123706+00:00,1,A2D9I57UGJWX8L,3AWETUDC93BNK7NSV1U252QF38RIZS,1.21,2,33,1,,0,0.33,3,25.67,33,1,1,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
7,quv8q527,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:58.592418+00:00,1,A24YK0MTFM2TRL,3CFVK00FWM4NMYBNEZU40KPCF8O6L3,1.13,2,45,1,,0,0.45,5,37,45,1,0,1,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
8,e4ijsoaw,,0,73,72,GoR_2,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:49:01.207554+00:00,1,A1EQLY98F5PJYP,3UWN2HHPUZOIXWC5XPDMEHPT2SLNS8,0.82,1,44,0,,0,0,3,25.67,33,1,1,0,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
