participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.wait_before_leave,session.config.bonus,session.config.real_world_currency_per_point,session.config.selection_method,session.config.views,session.config.pay_per_min,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.room_busy,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
101,bxz1l75z,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:01:07.480266+00:00,1,A2HWC65YAL6MHK,3IO1LGZLKAGS7RR4KAL0VF366X686P,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,101,1,0,0.00,1,1,101,0,0,0.00,1,2,101,0,0,0.00,1,3,101,0,0,0.00,1,4,101,0,0,0.00,1,5,101,0,0,0.00,1,6,101,0,0,0.00,1,7,101,0,0,0.00,1,8,101,55,"[96, 97, 99]",1358.5,2994.9803455,1358.5,0.101784266017843,0,,2018-06-20 11:01:22.259550+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
102,ux4lqy6i,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:04:17.201531+00:00,1,A3UN1F1EOHKKE6,31LM9EDVOMBPYTTFAV48MGY6HYPNJY,1.00,1.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,102,1,0,0.00,1,1,102,0,0,0.00,1,2,102,0,0,0.00,1,3,102,0,0,0.00,1,4,102,0,0,0.00,1,5,102,0,0,0.00,1,6,102,0,0,0.00,1,7,102,0,0,0.00,1,8,102,56,"[97, 99, 101]",2990.0,2990.0,1356.24095366872,0.099952111653465,1,,2018-06-20 11:05:01.892365+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history
103,xd5bbb5i,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:06:57.815782+00:00,1,ACI8PUCF5OPDC,320DUZ38G85JO1CTNRRDWWP9GM3GJJ,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,103,1,0,0.00,1,1,103,0,0,0.00,1,2,103,0,0,0.00,1,3,103,0,0,0.00,1,4,103,0,0,0.00,1,5,103,0,0,0.00,1,6,103,0,0,0.00,1,7,103,0,0,0.00,1,8,103,57,"[99, 101, 102]",1358.5,2994.9803455,1358.5,0.101784266017843,0,,2018-06-20 11:07:27.902677+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
104,ui1liwm6,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:07:27.809680+00:00,1,A1DWTO70YY5L79,3JCG6DTRV49RNDAKLDGYNB5X044QQF,0.16,0.26,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,104,1,0,0.00,1,1,104,0,0,0.00,1,2,104,0,0,0.00,1,3,104,0,0,0.00,1,4,104,0,0,0.00,1,5,104,0,0,0.00,1,6,104,0,0,0.00,1,7,104,0,0,0.00,1,8,104,58,"[101, 102, 103]",2995.0,2995.0,1358.50891512971,0.101791496455561,1,,2018-06-20 11:09:06.650105+00:00,46,0.16,0.00,1,1,0,0.2,30,300,1,3,history
105,zmhtshad,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:07:28.682598+00:00,1,A1ZIL55KKMXE31,3B2X28YI3XYB9PPBNM5AMHT7E3RB6R,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,105,1,0,0.00,1,1,105,0,0,0.00,1,2,105,0,0,0.00,1,3,105,0,0,0.00,1,4,105,0,0,0.00,1,5,105,0,0,0.00,1,6,105,0,0,0.00,1,7,105,0,0,0.00,1,8,105,57,"[101, 102, 103]",0.0,,,,0,,2018-06-20 11:08:51.986584+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
106,zyfajk95,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:08:53.318491+00:00,1,A3N46QXET3UPY,3R6P78PK7LUD248YZL5HY2CIEOUTG1,0.23,0.33,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,106,1,0,0.00,1,1,106,0,0,0.00,1,2,106,0,0,0.00,1,3,106,0,0,0.00,1,4,106,0,0,0.00,1,5,106,0,0,0.00,1,6,106,0,0,0.00,1,7,106,0,0,0.00,1,8,106,59,"[102, 103, 104]",2995.0,2995.0,1358.50891512971,0.101791496455561,1,,2018-06-20 11:09:30.206010+00:00,69,0.23,0.00,1,1,0,0.2,30,300,1,3,history
107,neitxiha,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 11:09:05.316120+00:00,1,A35HNEIV27NPC1,3H7Z272LX8QVW4TSTVTD6KGTL2VLPU,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,107,0,1,0.00,1,1,107,0,0,0.00,1,2,107,0,0,0.00,1,3,107,0,0,0.00,1,4,107,0,0,0.00,1,5,107,0,0,0.00,1,6,107,0,0,0.00,1,7,107,0,0,0.00,1,8,107,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
108,svbcl3cl,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 11:09:27.944364+00:00,1,AE2BOK50NTKFX,35GMH2SV3F0Z5Y7ZX9TU4PLJ20YOET,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,108,0,1,0.00,1,1,108,0,0,0.00,1,2,108,0,0,0.00,1,3,108,0,0,0.00,1,4,108,0,0,0.00,1,5,108,0,0,0.00,1,6,108,0,0,0.00,1,7,108,0,0,0.00,1,8,108,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
109,3xows3pj,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 11:10:52.913630+00:00,1,A33EZK81ADLX7U,3N8OEVH1FS9LHPKORNWQ91FX624OOX,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,109,0,1,0.00,1,1,109,0,0,0.00,1,2,109,0,0,0.00,1,3,109,0,0,0.00,1,4,109,0,0,0.00,1,5,109,0,0,0.00,1,6,109,0,0,0.00,1,7,109,0,0,0.00,1,8,109,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
110,2603uwfs,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:12:39.518397+00:00,1,A26HH5XUH214F7,3LOTDFNYA8IZGLGXJ64A31J5H3CWFV,1.00,1.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,110,1,0,0.00,1,1,110,0,0,0.00,1,2,110,0,0,0.00,1,3,110,0,0,0.00,1,4,110,0,0,0.00,1,5,110,0,0,0.00,1,6,110,0,0,0.00,1,7,110,0,0,0.00,1,8,110,60,"[103, 104, 106]",2910.0,2910.0,1319.95357029297,0.0705219548199275,1,,2018-06-20 11:12:58.796096+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history
111,gmw4ghlf,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:16:32.892974+00:00,1,ABN9IUIM1YA7Y,35USIKEBNSZDAYE8QCAJDCT1VS66NC,0.02,0.12,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,111,1,0,0.00,1,1,111,0,0,0.00,1,2,111,0,0,0.00,1,3,111,0,0,0.00,1,4,111,0,0,0.00,1,5,111,0,0,0.00,1,6,111,0,0,0.00,1,7,111,0,0,0.00,1,8,111,62,"[106, 110, 112]",2995.0,2995.0,1358.50891512971,0.101791496455561,1,,2018-06-20 11:18:03.710139+00:00,6,0.02,0.00,1,1,0,0.2,30,300,1,3,history
112,5pg2icbg,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:17:16.600930+00:00,1,A272X64FOZFYLB,3VA45EW49O60LXDNLLYFX52PDRV1OO,1.00,1.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,112,1,0,0.00,1,1,112,0,0,0.00,1,2,112,0,0,0.00,1,3,112,0,0,0.00,1,4,112,0,0,0.00,1,5,112,0,0,0.00,1,6,112,0,0,0.00,1,7,112,0,0,0.00,1,8,112,61,"[104, 106, 110]",2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-06-20 11:17:32.632448+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history
113,44bsmsvu,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:19:20.868142+00:00,1,A1RC1PM4WCKIV0,338JKRMM27IMN440DRWIOXYR5ZNHA4,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,113,1,0,0.00,1,1,113,0,0,0.00,1,2,113,0,0,0.00,1,3,113,0,0,0.00,1,4,113,0,0,0.00,1,5,113,0,0,0.00,1,6,113,0,0,0.00,1,7,113,0,0,0.00,1,8,113,62,"[110, 112, 111]",0.0,,,,0,,2018-06-20 11:19:41.378802+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
114,fcgwq24y,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:19:28.440363+00:00,1,A3DTEGZ2MT0OBO,3ZGVPD4G6U0DTL33PDT6J9SOPEOZTW,1.14,1.24,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,114,1,0,0.00,1,1,114,0,0,0.00,1,2,114,0,0,0.00,1,3,114,0,0,0.00,1,4,114,0,0,0.00,1,5,114,0,0,0.00,1,6,114,0,0,0.00,1,7,114,0,0,0.00,1,8,114,63,"[110, 112, 111]",2680.0,2680.0,1215.62734308768,0.0140897460764929,1,,2018-06-20 11:20:01.662929+00:00,40,0.14,1.00,1,1,0,0.2,30,300,1,3,history
115,rnqd9u5z,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 11:23:33.294622+00:00,1,A2C27YTQSQ1GXS,30X31N5D649BDDIGOL8HSB5TEA4ASI,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,115,0,1,0.00,1,1,115,0,0,0.00,1,2,115,0,0,0.00,1,3,115,0,0,0.00,1,4,115,0,0,0.00,1,5,115,0,0,0.00,1,6,115,0,0,0.00,1,7,115,0,0,0.00,1,8,115,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
116,5gvgxfpx,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:23:42.439979+00:00,1,A1J7365F0UGVYW,3HL8HNGX46KO4P3PQVUIPHBUJ2SF9P,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,116,1,0,0.00,1,1,116,0,0,0.00,1,2,116,0,0,0.00,1,3,116,0,0,0.00,1,4,116,0,0,0.00,1,5,116,0,0,0.00,1,6,116,0,0,0.00,1,7,116,0,0,0.00,1,8,116,63,"[112, 111, 114]",0.0,,,,0,,2018-06-20 11:24:06.319677+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
117,vqmfwui9,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:23:43.301245+00:00,1,A3PC0IDUS9FQA4,36U2A8VAG2IELC3BZIDV4BWQ07UKYL,0.14,0.24,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,117,1,0,0.00,1,1,117,0,0,0.00,1,2,117,0,0,0.00,1,3,117,0,0,0.00,1,4,117,0,0,0.00,1,5,117,0,0,0.00,1,6,117,0,0,0.00,1,7,117,0,0,0.00,1,8,117,64,"[112, 111, 114]",1358.5,2994.9803455,1358.5,0.101784266017843,0,,2018-06-20 11:24:26.370874+00:00,41,0.14,0.00,1,1,0,0.2,30,300,1,3,history
118,46blepbm,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 11:23:54.714162+00:00,1,A3TZBZ92CQKQLG,3WAKVUDHUXZ99OCM6NRXXLLRYZJ7U4,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,118,0,1,0.00,1,1,118,0,0,0.00,1,2,118,0,0,0.00,1,3,118,0,0,0.00,1,4,118,0,0,0.00,1,5,118,0,0,0.00,1,6,118,0,0,0.00,1,7,118,0,0,0.00,1,8,118,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
119,ljb3fwvz,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:25:48.919251+00:00,1,A1J2SF4IQEQ5OP,3NJM2BJS4XP2T0ZMGI0E31Q6RTIPCJ,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,119,1,0,0.00,1,1,119,0,0,0.00,1,2,119,0,0,0.00,1,3,119,0,0,0.00,1,4,119,0,0,0.00,1,5,119,0,0,0.00,1,6,119,0,0,0.00,1,7,119,0,0,0.00,1,8,119,65,"[111, 114, 117]",2700.0,5952.4821,2700.0,1.18978102189781,0,,2018-06-20 11:26:30.666502+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
120,81axov7f,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:26:12.808258+00:00,1,A1S1K7134S2VUC,3FIJLY1B6VN9WCJW7KQFB7B9O6AFPK,0.15,0.25,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,120,1,0,0.00,1,1,120,0,0,0.00,1,2,120,0,0,0.00,1,3,120,0,0,0.00,1,4,120,0,0,0.00,1,5,120,0,0,0.00,1,6,120,0,0,0.00,1,7,120,0,0,0.00,1,8,120,66,"[114, 117, 119]",3000.0,3000.0,1360.77687659069,0.103630881257657,1,,2018-06-20 11:26:47.327559+00:00,44,0.15,0.00,1,1,0,0.2,30,300,1,3,history
121,6xwon13w,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 11:37:44.588574+00:00,1,A399B3HHN9ZENF,3EJPLAJKENZ7RNSRT0LD8Z0A56EZ6M,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,121,1,0,0.00,1,1,121,0,0,0.00,1,2,121,0,0,0.00,1,3,121,0,0,0.00,1,4,121,0,0,0.00,1,5,121,0,0,0.00,1,6,121,0,0,0.00,1,7,121,0,0,0.00,1,8,121,67,"[117, 119, 120]",2700.0,5952.4821,2700.0,1.18978102189781,0,,2018-06-20 11:38:38.934284+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
122,g5k0oolh,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,122,0,0,0.00,1,1,122,0,0,0.00,1,2,122,0,0,0.00,1,3,122,0,0,0.00,1,4,122,0,0,0.00,1,5,122,0,0,0.00,1,6,122,0,0,0.00,1,7,122,0,0,0.00,1,8,122,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
123,k7kk10g7,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,123,0,0,0.00,1,1,123,0,0,0.00,1,2,123,0,0,0.00,1,3,123,0,0,0.00,1,4,123,0,0,0.00,1,5,123,0,0,0.00,1,6,123,0,0,0.00,1,7,123,0,0,0.00,1,8,123,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
124,f3yql6qn,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,124,0,0,0.00,1,1,124,0,0,0.00,1,2,124,0,0,0.00,1,3,124,0,0,0.00,1,4,124,0,0,0.00,1,5,124,0,0,0.00,1,6,124,0,0,0.00,1,7,124,0,0,0.00,1,8,124,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
125,ihiz97uj,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,125,0,0,0.00,1,1,125,0,0,0.00,1,2,125,0,0,0.00,1,3,125,0,0,0.00,1,4,125,0,0,0.00,1,5,125,0,0,0.00,1,6,125,0,0,0.00,1,7,125,0,0,0.00,1,8,125,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
126,je06kuyx,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,126,0,0,0.00,1,1,126,0,0,0.00,1,2,126,0,0,0.00,1,3,126,0,0,0.00,1,4,126,0,0,0.00,1,5,126,0,0,0.00,1,6,126,0,0,0.00,1,7,126,0,0,0.00,1,8,126,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
127,qw63ocub,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,127,0,0,0.00,1,1,127,0,0,0.00,1,2,127,0,0,0.00,1,3,127,0,0,0.00,1,4,127,0,0,0.00,1,5,127,0,0,0.00,1,6,127,0,0,0.00,1,7,127,0,0,0.00,1,8,127,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
128,2vde6xn3,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,128,0,0,0.00,1,1,128,0,0,0.00,1,2,128,0,0,0.00,1,3,128,0,0,0.00,1,4,128,0,0,0.00,1,5,128,0,0,0.00,1,6,128,0,0,0.00,1,7,128,0,0,0.00,1,8,128,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
129,tnmktj8e,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,129,0,0,0.00,1,1,129,0,0,0.00,1,2,129,0,0,0.00,1,3,129,0,0,0.00,1,4,129,0,0,0.00,1,5,129,0,0,0.00,1,6,129,0,0,0.00,1,7,129,0,0,0.00,1,8,129,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
130,wz2ap18a,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,130,0,0,0.00,1,1,130,0,0,0.00,1,2,130,0,0,0.00,1,3,130,0,0,0.00,1,4,130,0,0,0.00,1,5,130,0,0,0.00,1,6,130,0,0,0.00,1,7,130,0,0,0.00,1,8,130,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
131,rj3lfiug,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,131,0,0,0.00,1,1,131,0,0,0.00,1,2,131,0,0,0.00,1,3,131,0,0,0.00,1,4,131,0,0,0.00,1,5,131,0,0,0.00,1,6,131,0,0,0.00,1,7,131,0,0,0.00,1,8,131,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
132,7q7x6un9,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,132,0,0,0.00,1,1,132,0,0,0.00,1,2,132,0,0,0.00,1,3,132,0,0,0.00,1,4,132,0,0,0.00,1,5,132,0,0,0.00,1,6,132,0,0,0.00,1,7,132,0,0,0.00,1,8,132,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
133,kjqs14ma,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,133,0,0,0.00,1,1,133,0,0,0.00,1,2,133,0,0,0.00,1,3,133,0,0,0.00,1,4,133,0,0,0.00,1,5,133,0,0,0.00,1,6,133,0,0,0.00,1,7,133,0,0,0.00,1,8,133,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
134,yozdskjl,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,134,0,0,0.00,1,1,134,0,0,0.00,1,2,134,0,0,0.00,1,3,134,0,0,0.00,1,4,134,0,0,0.00,1,5,134,0,0,0.00,1,6,134,0,0,0.00,1,7,134,0,0,0.00,1,8,134,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
135,bp902uij,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,135,0,0,0.00,1,1,135,0,0,0.00,1,2,135,0,0,0.00,1,3,135,0,0,0.00,1,4,135,0,0,0.00,1,5,135,0,0,0.00,1,6,135,0,0,0.00,1,7,135,0,0,0.00,1,8,135,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
136,s0wbdd1f,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,136,0,0,0.00,1,1,136,0,0,0.00,1,2,136,0,0,0.00,1,3,136,0,0,0.00,1,4,136,0,0,0.00,1,5,136,0,0,0.00,1,6,136,0,0,0.00,1,7,136,0,0,0.00,1,8,136,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
137,hrxkgjf7,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,137,0,0,0.00,1,1,137,0,0,0.00,1,2,137,0,0,0.00,1,3,137,0,0,0.00,1,4,137,0,0,0.00,1,5,137,0,0,0.00,1,6,137,0,0,0.00,1,7,137,0,0,0.00,1,8,137,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
138,dec07ojz,,0,0,19,,,,,,0,,,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,138,0,0,0.00,1,1,138,0,0,0.00,1,2,138,0,0,0.00,1,3,138,0,0,0.00,1,4,138,0,0,0.00,1,5,138,0,0,0.00,1,6,138,0,0,0.00,1,7,138,0,0,0.00,1,8,138,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
