participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.is_dropout,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,4p8cx7dk,,0,0,64,,,,,,0,,,0.00,1,0,0,0.00,1,1,h7ouedw6,,,,,,1
2,rxhm0dsq,,0,0,64,,,,,,0,,,0.00,2,0,0,0.00,1,1,h7ouedw6,,,,,,1
3,v0o13n77,,0,0,64,,,,,,0,,,0.00,3,0,0,0.00,1,1,h7ouedw6,,,,,,1
4,0jay2dzn,,0,0,64,,,,,,0,,,0.00,4,0,0,0.00,1,1,h7ouedw6,,,,,,1
5,hbkyf617,,0,0,64,,,,,,0,,,0.00,5,0,0,0.00,1,1,h7ouedw6,,,,,,1
6,enfd5x8o,,0,0,64,,,,,,0,,,0.00,6,0,0,0.00,1,1,h7ouedw6,,,,,,1
7,1hryby8c,,0,0,64,,,,,,0,,,0.00,7,0,0,0.00,1,1,h7ouedw6,,,,,,1
8,i7xrm3x3,,0,0,64,,,,,,0,,,0.00,8,0,0,0.00,1,1,h7ouedw6,,,,,,1
9,8um84y34,,0,0,64,,,,,,0,,,0.00,9,0,0,0.00,1,1,h7ouedw6,,,,,,1
10,s4747qtc,,0,0,64,,,,,,0,,,0.00,10,0,0,0.00,1,1,h7ouedw6,,,,,,1
11,i0ekasu7,,0,0,64,,,,,,0,,,0.00,11,0,0,0.00,1,1,h7ouedw6,,,,,,1
12,ftk822wd,,0,0,64,,,,,,0,,,0.00,12,0,0,0.00,1,1,h7ouedw6,,,,,,1
13,cz0e2s5p,,0,0,64,,,,,,0,,,0.00,13,0,0,0.00,1,1,h7ouedw6,,,,,,1
14,rqiys8h1,,0,0,64,,,,,,0,,,0.00,14,0,0,0.00,1,1,h7ouedw6,,,,,,1
15,o0oxpohi,,0,0,64,,,,,,0,,,0.00,15,0,0,0.00,1,1,h7ouedw6,,,,,,1
16,y6owhysx,,0,0,64,,,,,,0,,,0.00,16,0,0,0.00,1,1,h7ouedw6,,,,,,1
17,5w81fblz,,0,0,64,,,,,,0,,,0.00,17,0,0,0.00,1,1,h7ouedw6,,,,,,1
18,8uru63v9,,0,0,64,,,,,,0,,,0.00,18,0,0,0.00,1,1,h7ouedw6,,,,,,1
19,2jq9e00b,,0,0,64,,,,,,0,,,0.00,19,0,0,0.00,1,1,h7ouedw6,,,,,,1
20,tr4duuup,,0,0,64,,,,,,0,,,0.00,20,0,0,0.00,1,1,h7ouedw6,,,,,,1
21,56ed488a,,0,0,64,,,,,,0,,,0.00,21,0,0,0.00,1,1,h7ouedw6,,,,,,1
22,9xcr2w4x,,0,0,64,,,,,,0,,,0.00,22,0,0,0.00,1,1,h7ouedw6,,,,,,1
23,s3lgp2oy,,0,0,64,,,,,,0,,,0.00,23,0,0,0.00,1,1,h7ouedw6,,,,,,1
24,0j2kl9gi,,0,0,64,,,,,,0,,,0.00,24,0,0,0.00,1,1,h7ouedw6,,,,,,1
1,4p8cx7dk,,0,0,64,,,,,,0,,,0.00,1,0,0,0.00,1,2,h7ouedw6,,,,,,1
